GEN,TIME,EVAL,BEST,AVG,STDDEV,WORST
249,0.27,16000,0.00e+00,0.00e+00,0.00e+00,0.00e+00
250,0.27,16064,0.00e+00,0.00e+00,0.00e+00,0.00e+00
251,0.27,16128,0.00e+00,0.00e+00,0.00e+00,0.00e+00
252,0.27,16192,0.00e+00,0.00e+00,0.00e+00,0.00e+00
253,0.27,16256,0.00e+00,0.00e+00,0.00e+00,0.00e+00
254,0.27,16320,0.00e+00,0.00e+00,0.00e+00,0.00e+00
255,0.27,16384,0.00e+00,0.00e+00,0.00e+00,0.00e+00
256,0.27,16448,0.00e+00,0.00e+00,0.00e+00,0.00e+00
257,0.27,16512,0.00e+00,0.00e+00,0.00e+00,0.00e+00
258,0.27,16576,0.00e+00,0.00e+00,0.00e+00,0.00e+00
259,0.27,16640,0.00e+00,0.00e+00,0.00e+00,0.00e+00
260,0.27,16704,0.00e+00,0.00e+00,0.00e+00,0.00e+00
261,0.28,16768,0.00e+00,0.00e+00,0.00e+00,0.00e+00
262,0.29,16832,0.00e+00,0.00e+00,0.00e+00,0.00e+00
263,0.29,16896,0.00e+00,0.00e+00,0.00e+00,0.00e+00
264,0.30,16960,0.00e+00,0.00e+00,0.00e+00,0.00e+00
265,0.30,17024,0.00e+00,0.00e+00,0.00e+00,0.00e+00
266,0.30,17088,0.00e+00,0.00e+00,0.00e+00,0.00e+00
267,0.30,17152,0.00e+00,0.00e+00,0.00e+00,0.00e+00
268,0.30,17216,0.00e+00,0.00e+00,0.00e+00,0.00e+00
269,0.30,17280,0.00e+00,0.00e+00,0.00e+00,0.00e+00
270,0.30,17344,0.00e+00,0.00e+00,0.00e+00,0.00e+00
271,0.30,17408,0.00e+00,0.00e+00,0.00e+00,0.00e+00
272,0.30,17472,0.00e+00,0.00e+00,0.00e+00,0.00e+00
273,0.30,17536,0.00e+00,0.00e+00,0.00e+00,0.00e+00
274,0.30,17600,0.00e+00,0.00e+00,0.00e+00,0.00e+00
275,0.30,17664,0.00e+00,0.00e+00,0.00e+00,0.00e+00
276,0.30,17728,0.00e+00,0.00e+00,0.00e+00,0.00e+00
277,0.30,17792,0.00e+00,0.00e+00,0.00e+00,0.00e+00
278,0.30,17856,0.00e+00,0.00e+00,0.00e+00,0.00e+00
279,0.30,17920,0.00e+00,0.00e+00,0.00e+00,0.00e+00
280,0.31,17984,0.00e+00,0.00e+00,0.00e+00,0.00e+00
281,0.31,18048,0.00e+00,0.00e+00,0.00e+00,0.00e+00
282,0.31,18112,0.00e+00,0.00e+00,0.00e+00,0.00e+00
283,0.31,18176,0.00e+00,0.00e+00,0.00e+00,0.00e+00
284,0.31,18240,0.00e+00,0.00e+00,0.00e+00,0.00e+00
285,0.31,18304,0.00e+00,0.00e+00,0.00e+00,0.00e+00
286,0.31,18368,0.00e+00,0.00e+00,0.00e+00,0.00e+00
287,0.31,18432,0.00e+00,0.00e+00,0.00e+00,0.00e+00
288,0.31,18496,0.00e+00,0.00e+00,0.00e+00,0.00e+00
289,0.31,18560,0.00e+00,0.00e+00,0.00e+00,0.00e+00
290,0.31,18624,0.00e+00,0.00e+00,0.00e+00,0.00e+00
291,0.31,18688,0.00e+00,0.00e+00,0.00e+00,0.00e+00
292,0.31,18752,0.00e+00,0.00e+00,0.00e+00,0.00e+00
293,0.32,18816,0.00e+00,0.00e+00,0.00e+00,0.00e+00
294,0.32,18880,0.00e+00,0.00e+00,0.00e+00,0.00e+00
295,0.32,18944,0.00e+00,0.00e+00,0.00e+00,0.00e+00
296,0.32,19008,0.00e+00,0.00e+00,0.00e+00,0.00e+00
297,0.32,19072,0.00e+00,0.00e+00,0.00e+00,0.00e+00
298,0.32,19136,0.00e+00,0.00e+00,0.00e+00,0.00e+00
299,0.32,19200,0.00e+00,0.00e+00,0.00e+00,0.00e+00
